Column1,Column2,Column3
"Light Intensity, Ch A vs Angular Position, Ch 1&2, Run #10",,"Light Intensity, Ch A vs Angular Position, Ch 1&2, Run #10,"
"Angular Position, Ch 1&2 ( deg )","Light Intensity, Ch A ( % max )","Angular Position, Ch 1&2 ( deg ),Light Intensity, Ch A ( % max )"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
-3070.8,0.1,"-3070.8,0.1"
